,week,count_promo,flows,coefficient
0,1,1351,sleeping_loyal,2.1
1,2,1765,sleeping_loyal,2.6
2,3,1921,sleeping_loyal,2.1
3,4,1793,sleeping_loyal,2.1
4,5,1871,sleeping_loyal,1.6
5,6,1929,sleeping_loyal,1.9
6,7,2246,sleeping_loyal,1.6
7,8,2140,sleeping_loyal,2.5
8,9,2354,sleeping_loyal,2.0
9,10,2242,sleeping_loyal,1.9
10,11,2306,sleeping_loyal,3.4
11,12,2261,sleeping_loyal,1.5
12,13,2189,sleeping_loyal,2.2
13,14,2182,sleeping_loyal,2.0
14,15,2213,sleeping_loyal,1.9
15,16,2270,sleeping_loyal,2.5
16,17,2528,sleeping_loyal,1.3
17,18,2303,sleeping_loyal,2.0
18,19,2264,sleeping_loyal,1.4
19,20,2313,sleeping_loyal,1.6
20,21,2378,sleeping_loyal,1.7
21,22,2296,sleeping_loyal,1.8
22,23,2416,sleeping_loyal,1.9
23,24,2493,sleeping_loyal,2.3
24,25,2348,sleeping_loyal,2.0
25,26,2502,sleeping_loyal,1.9
26,27,2420,sleeping_loyal,1.2
27,28,2539,sleeping_loyal,2.1
28,29,2342,sleeping_loyal,2.1
29,30,2393,sleeping_loyal,1.5
30,31,2279,sleeping_loyal,1.4
31,32,2399,sleeping_loyal,1.4
32,33,2341,sleeping_loyal,2.1
33,34,2332,sleeping_loyal,2.1
34,35,2212,sleeping_loyal,1.9
35,36,2375,sleeping_loyal,1.9
36,37,2212,sleeping_loyal,1.6
37,38,2485,sleeping_loyal,2.3
38,39,2510,sleeping_loyal,1.3
39,40,2427,sleeping_loyal,2.4
40,41,2359,sleeping_loyal,1.4
41,42,2370,sleeping_loyal,1.6
42,43,2363,sleeping_loyal,1.4
43,44,2538,sleeping_loyal,1.6
44,45,2237,sleeping_loyal,1.6
45,46,2371,sleeping_loyal,6.9
46,47,2357,sleeping_loyal,1.1
47,48,2597,sleeping_loyal,1.8
48,49,2416,sleeping_loyal,1.9
49,50,2712,sleeping_loyal,1.7
50,51,2674,sleeping_loyal,3.6
51,1,1351,sleeping_champions,2.3
52,2,1765,sleeping_champions,2.4
53,3,1921,sleeping_champions,2.2
54,4,1793,sleeping_champions,1.9
55,5,1871,sleeping_champions,2.5
56,6,1929,sleeping_champions,2.4
57,7,2246,sleeping_champions,2.1
58,8,2140,sleeping_champions,1.6
59,9,2354,sleeping_champions,1.5
60,10,2242,sleeping_champions,1.7
61,11,2306,sleeping_champions,1.3
62,12,2261,sleeping_champions,1.4
63,13,2189,sleeping_champions,1.5
64,14,2182,sleeping_champions,1.5
65,15,2213,sleeping_champions,1.4
